Experiment,Heuristic,Movement,Grid_Size,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
2,Manhattan,4-dir,50x50,6.519±3.600,627.933±288.055,99.400±0.968,2.028±0.020
2,Manhattan,8-dir,50x50,1.406±0.482,62.733±6.335,57.200±2.709,1.161±0.061
2,Euclidean,4-dir,50x50,4.845±2.465,579.433±263.588,101.933±3.183,2.080±0.065
2,Euclidean,8-dir,50x50,1.038±0.171,75.233±14.388,59.800±2.524,1.220±0.052
2,Chebyshev,4-dir,50x50,10.677±2.183,1292.333±139.295,100.733±2.664,2.055±0.054
2,Chebyshev,8-dir,50x50,9.229±1.838,893.400±64.004,57.767±1.569,1.179±0.032
