Experiment,Movement_Model,Algorithm,Grid_Size,Execution_Time,Nodes_Expanded,Path_Length,Success_Rate(%)
3,4-dir,BFS,50x50,13.453±5.515,1992.560±18.205,99.000±0.000,83.3
3,8-dir,BFS,50x50,13.807±4.161,1996.833±19.402,54.433±1.194,100
3,4-dir,Dijkstra,50x50,14.549±3.548,1862.619±153.414,99.952±1.746,70.0
3,8-dir,Dijkstra,50x50,14.712±2.367,2003.967±23.442,54.833±1.147,100
3,4-dir,A*,50x50,4.845±2.465,579.433±263.588,101.933±3.183,100.0
3,8-dir,A*,50x50,5.583±1.986,425.345±93.883,55.034±0.944,96.7
3,4-dir,D*_Lite,50x50,10.772±3.518,588.059±119.922,99.941±1.029,56.7
3,8-dir,D*_Lite,50x50,11.133±3.746,415.966±120.388,54.621±1.083,96.7
