Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
3,Dijkstra,50x50,Large(20%),15.355,1983,99,2.020
3,Dijkstra,50x50,Large(20%),19.105,2009,99,2.020
3,Dijkstra,50x50,Large(20%),14.135,1984,99,2.020
3,Dijkstra,50x50,Large(20%),16.745,1986,99,2.020
3,Dijkstra,50x50,Large(20%),13.715,1995,99,2.020
3,Dijkstra,50x50,Large(20%),23.370,1979,99,2.020
3,Dijkstra,50x50,Large(20%),20.675,1974,99,2.020
3,Dijkstra,50x50,Large(20%),14.680,1946,99,2.020
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),10.090,1993,99,2.020
3,Dijkstra,50x50,Large(20%),17.555,2015,99,2.020
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),11.420,1986,99,2.020
3,Dijkstra,50x50,Large(20%),13.550,2027,99,2.020
3,Dijkstra,50x50,Large(20%),13.970,1645,103,2.102
3,Dijkstra,50x50,Large(20%),14.325,1687,99,2.020
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),14.970,1718,99,2.020
3,Dijkstra,50x50,Large(20%),16.575,1692,101,2.061
3,Dijkstra,50x50,Large(20%),9.280,1704,101,2.061
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),11.495,1667,101,2.061
3,Dijkstra,50x50,Large(20%),11.805,1755,103,2.102
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),11.495,1738,99,2.020
3,Dijkstra,50x50,Large(20%),NULL,NULL,NULL,0
3,Dijkstra,50x50,Large(20%),11.225,1632,105,2.143
