Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
3,A*,50x50,Large(20%),6.950,740,105,2.143
3,A*,50x50,Large(20%),4.705,499,99,2.020
3,A*,50x50,Large(20%),3.480,361,103,2.102
3,A*,50x50,Large(20%),3.555,432,99,2.020
3,A*,50x50,Large(20%),2.030,280,99,2.020
3,A*,50x50,Large(20%),5.290,568,103,2.102
3,A*,50x50,Large(20%),4.160,456,99,2.020
3,A*,50x50,Large(20%),11.405,1194,105,2.143
3,A*,50x50,Large(20%),2.840,386,99,2.020
3,A*,50x50,Large(20%),2.590,356,99,2.020
3,A*,50x50,Large(20%),7.670,896,109,2.225
3,A*,50x50,Large(20%),2.715,364,99,2.020
3,A*,50x50,Large(20%),5.995,740,107,2.184
3,A*,50x50,Large(20%),3.975,404,99,2.020
3,A*,50x50,Large(20%),4.665,626,101,2.061
3,A*,50x50,Large(20%),10.335,1086,105,2.143
3,A*,50x50,Large(20%),2.695,317,103,2.102
3,A*,50x50,Large(20%),3.790,536,101,2.061
3,A*,50x50,Large(20%),2.660,293,99,2.020
3,A*,50x50,Large(20%),4.770,668,103,2.102
3,A*,50x50,Large(20%),6.605,885,105,2.143
3,A*,50x50,Large(20%),8.620,934,103,2.102
3,A*,50x50,Large(20%),3.575,453,99,2.020
3,A*,50x50,Large(20%),6.095,753,105,2.143
3,A*,50x50,Large(20%),2.550,316,99,2.020
3,A*,50x50,Large(20%),2.345,338,101,2.061
3,A*,50x50,Large(20%),2.310,319,99,2.020
3,A*,50x50,Large(20%),7.100,860,103,2.102
3,A*,50x50,Large(20%),7.010,951,109,2.225
3,A*,50x50,Large(20%),2.865,372,99,2.020
