Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
3,BFS,50x50,Large(20%),12.100,2021,99,2.020
3,BFS,50x50,Large(20%),12.545,1993,99,2.020
3,BFS,50x50,Large(20%),12.425,1992,99,2.020
3,BFS,50x50,Large(20%),31.505,2018,99,2.020
3,BFS,50x50,Large(20%),9.960,1981,99,2.020
3,BFS,50x50,Large(20%),15.980,2004,NULL,0
3,BFS,50x50,Large(20%),10.845,1989,99,2.020
3,BFS,50x50,Large(20%),0.055,1,NULL,0
3,BFS,50x50,Large(20%),9.420,1968,NULL,0
3,BFS,50x50,Large(20%),14.225,1980,99,2.020
3,BFS,50x50,Large(20%),12.490,2004,99,2.020
3,BFS,50x50,Large(20%),11.195,1992,99,2.020
3,BFS,50x50,Large(20%),11.335,1985,99,2.020
3,BFS,50x50,Large(20%),10.510,2003,99,2.020
3,BFS,50x50,Large(20%),14.875,1968,99,2.020
3,BFS,50x50,Large(20%),16.575,1966,99,2.020
3,BFS,50x50,Large(20%),16.725,1976,99,2.020
3,BFS,50x50,Large(20%),9.720,2010,99,2.020
3,BFS,50x50,Large(20%),9.400,2002,99,2.020
3,BFS,50x50,Large(20%),16.205,1973,NULL,0
3,BFS,50x50,Large(20%),9.460,1996,99,2.020
3,BFS,50x50,Large(20%),24.805,1970,99,2.020
3,BFS,50x50,Large(20%),10.650,1974,99,2.020
3,BFS,50x50,Large(20%),12.325,2004,99,2.020
3,BFS,50x50,Large(20%),23.260,2027,99,2.020
3,BFS,50x50,Large(20%),9.030,2011,99,2.020
3,BFS,50x50,Large(20%),0.150,4,NULL,0
3,BFS,50x50,Large(20%),12.040,1999,99,2.020
3,BFS,50x50,Large(20%),8.850,1956,99,2.020
3,BFS,50x50,Large(20%),9.475,1997,99,2.020
