Experiment,Heuristic,Movement,Grid_Size,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
2,Euclidean,8-dir,50x50,1.040,85,61,1.245
2,Euclidean,8-dir,50x50,0.820,62,57,1.163
2,Euclidean,8-dir,50x50,1.105,68,59,1.204
2,Euclidean,8-dir,50x50,0.920,75,60,1.225
2,Euclidean,8-dir,50x50,0.965,65,57,1.163
2,Euclidean,8-dir,50x50,1.055,86,61,1.245
2,Euclidean,8-dir,50x50,0.875,67,58,1.184
2,Euclidean,8-dir,50x50,0.995,70,59,1.204
2,Euclidean,8-dir,50x50,1.135,103,65,1.327
2,Euclidean,8-dir,50x50,1.115,81,60,1.225
2,Euclidean,8-dir,50x50,0.990,76,60,1.225
2,Euclidean,8-dir,50x50,1.215,75,64,1.306
2,Chebyshev,4-dir,50x50,9.675,1353,99,2.020
2,Chebyshev,4-dir,50x50,18.655,1184,99,2.020
2,Chebyshev,4-dir,50x50,8.665,1031,99,2.020
2,Chebyshev,4-dir,50x50,8.480,1110,99,2.020
2,Chebyshev,4-dir,50x50,12.870,1611,101,2.061
2,Chebyshev,4-dir,50x50,11.545,1249,99,2.020
2,Chebyshev,4-dir,50x50,10.475,1279,101,2.061
2,Chebyshev,4-dir,50x50,13.220,1495,101,2.061
2,Chebyshev,4-dir,50x50,12.345,1439,111,2.265
2,Chebyshev,4-dir,50x50,11.410,1417,103,2.102
2,Chebyshev,4-dir,50x50,9.085,1234,99,2.020
2,Chebyshev,4-dir,50x50,11.550,1323,101,2.061
2,Chebyshev,4-dir,50x50,9.390,1181,99,2.020
2,Chebyshev,4-dir,50x50,11.120,1443,99,2.020
2,Chebyshev,4-dir,50x50,6.490,1116,101,2.061
2,Chebyshev,4-dir,50x50,10.050,1280,101,2.061
2,Chebyshev,4-dir,50x50,13.100,1495,105,2.143
2,Chebyshev,4-dir,50x50,9.690,1234,103,2.102
2,Chebyshev,4-dir,50x50,9.170,1237,99,2.020
2,Chebyshev,4-dir,50x50,8.015,1134,103,2.102
2,Chebyshev,4-dir,50x50,10.700,1258,105,2.143
2,Chebyshev,4-dir,50x50,10.650,1286,99,2.020
2,Chebyshev,4-dir,50x50,10.380,1377,101,2.061
2,Chebyshev,4-dir,50x50,9.575,1365,99,2.020
2,Chebyshev,4-dir,50x50,11.245,1349,99,2.020
2,Chebyshev,4-dir,50x50,9.540,1052,99,2.020
2,Chebyshev,4-dir,50x50,11.165,1265,99,2.020
2,Chebyshev,4-dir,50x50,9.195,1234,99,2.020
2,Chebyshev,4-dir,50x50,12.765,1492,101,2.061
2,Chebyshev,4-dir,50x50,10.090,1247,99,2.020
2,Chebyshev,8-dir,50x50,9.760,877,58,1.184
2,Chebyshev,8-dir,50x50,9.390,869,57,1.163
2,Chebyshev,8-dir,50x50,9.470,989,61,1.245
2,Chebyshev,8-dir,50x50,9.060,885,58,1.184
2,Chebyshev,8-dir,50x50,8.100,885,57,1.163
2,Chebyshev,8-dir,50x50,7.420,893,58,1.184
2,Chebyshev,8-dir,50x50,9.395,953,58,1.184
2,Chebyshev,8-dir,50x50,8.435,854,58,1.184
2,Chebyshev,8-dir,50x50,9.235,875,58,1.184
2,Chebyshev,8-dir,50x50,8.840,837,57,1.163
2,Chebyshev,8-dir,50x50,10.150,903,58,1.184
2,Chebyshev,8-dir,50x50,8.405,905,57,1.163
2,Chebyshev,8-dir,50x50,9.300,863,59,1.204
2,Chebyshev,8-dir,50x50,8.120,832,57,1.163
2,Chebyshev,8-dir,50x50,8.170,887,56,1.143
2,Chebyshev,8-dir,50x50,9.125,878,58,1.184
2,Chebyshev,8-dir,50x50,8.000,844,58,1.184
2,Chebyshev,8-dir,50x50,10.335,930,58,1.184
2,Chebyshev,8-dir,50x50,8.385,845,56,1.143
2,Chebyshev,8-dir,50x50,9.535,1004,59,1.204
2,Chebyshev,8-dir,50x50,8.585,924,58,1.184
2,Chebyshev,8-dir,50x50,7.265,814,57,1.163
2,Chebyshev,8-dir,50x50,8.875,890,58,1.184
2,Chebyshev,8-dir,50x50,9.385,867,57,1.163
2,Chebyshev,8-dir,50x50,8.140,818,58,1.184
2,Chebyshev,8-dir,50x50,8.315,850,58,1.184
2,Chebyshev,8-dir,50x50,10.360,975,61,1.245
2,Chebyshev,8-dir,50x50,10.940,1055,61,1.245
2,Chebyshev,8-dir,50x50,8.565,782,53,1.082
2,Chebyshev,8-dir,50x50,17.815,1019,56,1.143
